tmdb_person_id,name,biography,birthday,place_of_birth,profile_path,popularity
143059,Patrick Hughes,Patrick Hughes is an Australian film director and screenwriter.,1978-05-13,"Melbourne, Australia",/1yTU7U9HVchCQ1KO66noEKuK5J2.jpg,3.1327
76422,Ric Roman Waugh,"Ric Roman Waugh (born February 20, 1968) is an American film director, writer, producer, actor, and former stuntman. He is known for his work in Felon (2008), Snitch (2013), and Shot Caller (2017). He wrote and directed Angel Has Fallen (2019), the third instalment in the Has Fallen series.

He is the older brother of director Scott Waugh.

Description above from the Wikipedia article Ric Roman Waugh, licensed under CC-BY-SA, is a full list of contributors on Wikipedia.",1968-02-20,"Los Angeles, California, USA",/cu0MJd4exIgSLgaE0uwMDTFQcpA.jpg,1.5478
59703,Frank E. Flowers,"Frank Ewen Flowers Jr. (born 1979) is a Caymanian independent filmmaker, film director and screenwriter. He is the writer and director of the award-winning 2003 short film Swallow and the 2004 feature motion picture Haven, the first feature film to be entirely photographed on the island of Grand Cayman. Flowers is a graduate of the University of Southern California School of Cinema-Television (now the USC School of Cinematic Arts).

Flowers also co-wrote Metro Manila with director Sean Ellis. The film won an audience award at the Sundance Film Festival. It was nominated for a BAFTA in 2014 after winning numerous British Independent Film Awards. In 2015, he was commissioned to script Shooting Stars, a film about the teenage years of basketball legend LeBron James, for Universal Studios. The film was produced by James and his partner, Maverick Carter, alongside Academy Award nominees Rachel and Terence Winter. Flowers also co-wrote the Bob Marley: One Love biopic for director Reinaldo Marcus Green and is the co-writer and director of The Bluff, which Amazon MGM Studios are releasing.

Description above from the Wikipedia article Frank E. Flowers, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1979-01-01,"Grand Cayman, Cayman Islands",/eguppPFKy8xfEOajWrbHugA0uJ.jpg,1.0532
1318201,Jared Bush,"Jared Bush (born June 12, 1974) is an American screenwriter, producer, and director who has served as the chief creative officer of Walt Disney Animation Studios since 2024. He is best known for co-writing and co-directing the Walt Disney Animation Studios film Zootopia (2016) and its sequel Zootopia 2 (2025), writing the movie Moana (2016), its sequel Moana 2 (2024) and the 2026 upcoming live-action remake, and writing, directing, and winning an Academy Award for Best Animated Feature for the film Encanto (2021), besides co-creating and executive producing the Disney XD animated series Penn Zero: Part-Time Hero. Bush is a graduate of Harvard University.

Description above from the Wikipedia article Jared Bush, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1974-06-12,"Gaithersburg, Maryland, USA",/50XtrC5NMcqiYMXNmuNVY5tUl34.jpg,1.7441
76595,Byron Howard,"Byron P. Howard (born December 26, 1968) is an American animator, character designer, story artist, film director, producer, and screenwriter. He is best known as one of the directors of the Walt Disney Animation Studios films Bolt (2008), Tangled (2010), Zootopia (2016), Encanto (2021), and Zootopia 2 (2025). He is the first LGBT director to win the Oscar for Best Animated Feature twice for his work on Zootopia and Encanto.

Description above from the Wikipedia article Byron Howard, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1968-12-26,"Misawa, Japan",/ePJXkxrD44nM0VB7Xx9Q4ityzfT.jpg,1.8885
1491592,Daniel Chong,"Daniel William Chong (born November 19, 1978 in Fargo, North Dakota, United States) is an American artist of Singaporean-Chinese descent and the creator of We Bare Bears. He currently resides in Los Angeles, California.",1978-11-19,"Fargo, North Dakota, USA",/gMYqVwLdoaPhIFyWUAQrRlGGjkE.jpg,2.2923
23430,Timur Bekmambetov,"Timur Nuruakhitovich Bekmambetov (Russian: Тимур Нуруахитович Бекмамбетов, pronounced [tʲɪˈmur nʊrʊɐˈxʲitəvʲɪt͡ɕ bʲɪkmɐmˈbʲetəf]; Kazakh: Темір Нұрбақытұлы Бекмамбетoв, romanized: Temır Nūrbaqytūly Bekmambetov; born 25 June 1961) is a Kazakh-born Russian film director, producer, screenwriter, and tech entrepreneur. He is best known for the fantasy epic Night Watch (2004) and the action thriller Wanted (2008), as well as for the pioneering screenlife films Unfriended (2015), Searching (2018) and Profile (2018). According to Fast Company, he founded Baselevs, a production company that earned a spot among the 2021 World's 10 Most Innovative Companies in Video.

Description above from the Wikipedia article Timur Bekmambetov, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1961-06-25,"Guryev, Kazakh SSR, USSR [now Atyrau, Kazakhstan]",/w4C8qeeWRvD7rbIj3elTvhdxjT.jpg,1.1385
1401474,Corin Hardy,"Corin Hardy (born January 6, 1975) is an English filmmaker. He is best known for directing the horror films The Hallow (2015), The Nun (2018) and Whistle (2025). He also directed episodes for the crime series Gangs of London (2020).",1975-01-06,UK,/zFDndGEhMk0ah8daKr080gNqSZ.jpg,0.9832
78108,Isaac Florentine,"From Wikipedia, the free encyclopedia.

Isaac Florentine is an Israeli-born movie director and martial arts expert. Florentine earned a degree in Film & Television from Tel Aviv University.

Description above from the Wikipedia article Isaac Florentine, licensed under CC-BY-SA, full list of contributors on Wikipedia",1958-07-28, Israel,/4PJrg3l105M2GMNazhu2DXZ1Wce.jpg,0.989
1500758,Ángel Manuel Soto,"Ángel Manuel Soto (born January 28, 1983) is a Puerto Rican film director, producer and screenwriter. He is best known for directing the films Charm City Kings (2020) and Blue Beetle (2023).

Description above from the Wikipedia article Ángel Manuel Soto, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1983-01-28,"Santurce, Puerto Rico",/7lu6zFhXB1Na5ANy2pPTIERaAhi.jpg,1.5008
