tmdb_movie_id,tmdb_actor_id,movie_title,character,cast_order
1265609,64295,War Machine,81,0
1265609,6065,War Machine,Army Sgt Maj Sheridan,1
1265609,1388314,War Machine,7,2
1265609,224181,War Machine,Class President,3
1265609,65344,War Machine,Army Officer Torres,4
1265609,4377249,War Machine,15,5
1265609,1251875,War Machine,60,6
1265609,5208267,War Machine,109,7
1265609,1925382,War Machine,96,8
1265609,3788309,War Machine,122,9
1290821,976,Shelter,Mason,0
1290821,4088089,Shelter,Jesse,1
1290821,1563431,Shelter,Uncle,2
1290821,1233545,Shelter,Haneron,3
1290821,2440,Shelter,Manafort,4
1290821,17477,Shelter,Prime Minister Fordham,5
1290821,237087,Shelter,Shop Clerk,6
1290821,1389549,Shelter,Maddison,7
1290821,1537686,Shelter,Roberta,8
1290821,2000704,Shelter,Aziz,9
799882,77234,The Bluff,Ercell,0
799882,1372,The Bluff,Captain Connor,1
799882,2592839,The Bluff,Elizabeth,2
799882,1100144,The Bluff,T.H. Bodden,3
799882,7242,The Bluff,Quartermaster Lee,4
799882,57795,The Bluff,Pastor Bradley,5
799882,2096500,The Bluff,Scout,6
799882,1576672,The Bluff,Chien,7
799882,3103723,The Bluff,Isaac,8
799882,4819068,The Bluff,Lupe,9
1084242,417,Zootopia 2,Judy Hopps (voice),0
1084242,23532,Zootopia 2,Nick Wilde (voice),1
1084242,690,Zootopia 2,Gary De'Snake (voice),2
1084242,1183672,Zootopia 2,Nibbles Maplestick (voice),3
1084242,62861,Zootopia 2,Pawbert Lynxley (voice),4
1084242,11064,Zootopia 2,Milton Lynxley (voice),5
1084242,17605,Zootopia 2,Chief Bogo (voice),6
1084242,446511,Zootopia 2,Gazelle (voice),7
1084242,9657,Zootopia 2,Mayor Winddancer (voice),8
1084242,1745988,Zootopia 2,Dr. Fuzzby (voice),9
1327819,452205,Hoppers,King George (voice),0
1327819,1308818,Hoppers,Mabel (voice),1
1327819,65717,Hoppers,Mayor Jerry Generazzo (voice),2
1327819,11074,Hoppers,Dr. Sam (voice),3
1327819,54697,Hoppers,Insect King (voice),4
1327819,1653235,Hoppers,Loaf (voice),5
1327819,1625231,Hoppers,Nisha (voice),6
1327819,1429453,Hoppers,Conner (voice),7
1327819,17490,Hoppers,Bird King (voice),8
1327819,5064,Hoppers,Insect Queen (voice),9
840464,17276,Greenland 2: Migration,John Garrity,0
840464,54882,Greenland 2: Migration,Allison Garrity,1
840464,2054851,Greenland 2: Migration,Nathan Garrity,2
840464,1754784,Greenland 2: Migration,General Sharpe,3
840464,85151,Greenland 2: Migration,Adam Shaw,4
840464,574378,Greenland 2: Migration,Dr Casey Amina,5
840464,2738818,Greenland 2: Migration,Elizabeth Price,6
840464,2033965,Greenland 2: Migration,Charles Williams,7
840464,78019,Greenland 2: Migration,Dr Haugen,8
840464,1977127,Greenland 2: Migration,Mr Singh,9
1236153,73457,Mercy,Chris Raven,0
1236153,933238,Mercy,Judge Maddox,1
1236153,3119545,Mercy,Jacqueline 'Jaq' Diallo,2
1236153,1164259,Mercy,Britt Raven,3
1236153,1293892,Mercy,Rob Nelson,4
1236153,1583044,Mercy,Patrick Burke,5
1236153,82809,Mercy,Nicole Raven,6
1236153,21660,Mercy,Holt Charles,7
1236153,41561,Mercy,Ray Vale,8
1236153,18053,Mercy,Dan Vogel,9
1193501,1464650,Whistle,Chrys Willet,0
1193501,1008607,Whistle,Ellie Gains,1
1193501,2388828,Whistle,Rel Taylor,2
1193501,1993743,Whistle,Dean,3
1193501,117995,Whistle,Grace Friedkin,4
1193501,1477961,Whistle,Noah Haggerty,5
1193501,2573266,Whistle,Mason Horse Raymore,6
1193501,20057,Whistle,Ivy Raymore,7
1193501,11109,Whistle,Mr. Craven,8
1193501,54217,Whistle,Grace's Mom,9
1088434,32747,Hellfire,Man,0
1088434,1037,Hellfire,Jeremiah,1
1088434,128628,Hellfire,Lena,2
1088434,16644,Hellfire,Wiley,3
1088434,2170918,Hellfire,Owen,4
1088434,929065,Hellfire,Clyde,5
1088434,50096,Hellfire,Zeke,6
1088434,48530,Hellfire,Salvadore,7
1088434,71886,Hellfire,Vivian,8
1088434,3433042,Hellfire,Titus,9
1168190,543530,The Wrecking Crew,James Hale,0
1168190,117642,The Wrecking Crew,Jonny Hale,1
1168190,7242,The Wrecking Crew,Governor Peter Mahoe,2
1168190,54882,The Wrecking Crew,Valentina,3
1168190,1298669,The Wrecking Crew,Leila Hale,4
1168190,1753341,The Wrecking Crew,Haunani Palakiko,5
1168190,150802,The Wrecking Crew,Marcus Robichaux,6
1168190,1649152,The Wrecking Crew,Pika,7
1168190,3988423,The Wrecking Crew,Lani,8
1168190,17401,The Wrecking Crew,Detective Rennert,9
1119449,6807,"Good Luck, Have Fun, Don't Die",The Man From The Future,0
1119449,36594,"Good Luck, Have Fun, Don't Die",Susan,1
1119449,1286328,"Good Luck, Have Fun, Don't Die",Ingrid,2
1119449,454,"Good Luck, Have Fun, Don't Die",Mark,3
1119449,1545693,"Good Luck, Have Fun, Don't Die",Janet,4
1119449,1502438,"Good Luck, Have Fun, Don't Die",Scott,5
1119449,1696753,"Good Luck, Have Fun, Don't Die",Tim,6
1119449,1561310,"Good Luck, Have Fun, Don't Die",Marie,7
1119449,2428291,"Good Luck, Have Fun, Don't Die",Bob,8
1119449,3839205,"Good Luck, Have Fun, Don't Die",The AI Boy,9
755898,9778,War of the Worlds,William Radford,0
755898,52605,War of the Worlds,NASA Scientist Sandra Salas,1
755898,9048,War of the Worlds,NSA Director Donald Briggs,2
755898,1632530,War of the Worlds,Faith Radford,3
755898,60482,War of the Worlds,David Radford,4
755898,90498,War of the Worlds,Mark Goodman,5
755898,71402,War of the Worlds,FBI Field Agent Sheila Jeffries,6
755898,98811,War of the Worlds,News Reporter,7
755898,21710,War of the Worlds,Secretary of Defense Walter Crystal,8
755898,30697,War of the Worlds,POTUS,9
83533,65731,Avatar: Fire and Ash,Jake,0
83533,8691,Avatar: Fire and Ash,Neytiri,1
83533,10205,Avatar: Fire and Ash,Kiri,2
83533,32747,Avatar: Fire and Ash,Quaritch,3
83533,566331,Avatar: Fire and Ash,Varang,4
83533,1895760,Avatar: Fire and Ash,Spider,5
83533,204,Avatar: Fire and Ash,Ronal,6
83533,7248,Avatar: Fire and Ash,Tonowari,7
83533,59231,Avatar: Fire and Ash,Norm,8
83533,30485,Avatar: Fire and Ash,Mo'at,9
1316092,234352,"""Wuthering Heights""",Cathy,0
1316092,2034418,"""Wuthering Heights""",Heathcliff,1
1316092,1360317,"""Wuthering Heights""",Nelly,2
1316092,2981449,"""Wuthering Heights""",Isabella,3
1316092,1370832,"""Wuthering Heights""",Edgar,4
1316092,22159,"""Wuthering Heights""",Mr. Earnshaw,5
1316092,1829122,"""Wuthering Heights""",Joseph,6
1316092,1639205,"""Wuthering Heights""",Zillah,7
1316092,1128192,"""Wuthering Heights""",Mrs Burton,8
1316092,5292854,"""Wuthering Heights""",Young Cathy,9
680493,225692,Return to Silent Hill,James Sunderland,0
680493,1685904,Return to Silent Hill,Mary Crane  / Angela / Maria / Moth Mary,1
680493,3131371,Return to Silent Hill,Laura,2
680493,2438347,Return to Silent Hill,Eddie,3
680493,2486314,Return to Silent Hill,M,4
680493,1675328,Return to Silent Hill,Pyramid Head,5
680493,2021091,Return to Silent Hill,Dara,6
680493,1092908,Return to Silent Hill,Kaitlyn,7
680493,5732923,Return to Silent Hill,Meyers Twin,8
680493,5732931,Return to Silent Hill,Meyers Twin,9
1368166,115440,The Housemaid,Millie Calloway,0
1368166,71070,The Housemaid,Nina Winchester,1
1368166,1855143,The Housemaid,Andrew Winchester,2
1368166,2349355,The Housemaid,Enzo,3
1368166,20,The Housemaid,Mrs. Winchester,4
1368166,4342318,The Housemaid,Cece Winchester,5
1368166,1517553,The Housemaid,Suzanne,6
1368166,2035942,The Housemaid,Pam,7
1368166,1306314,The Housemaid,Jilliane,8
1368166,2013576,The Housemaid,Patrice,9
1242898,18050,Predator: Badlands,Thia / Tessa,0
1242898,3223391,Predator: Badlands,Dek / Father,1
1242898,1891826,Predator: Badlands,Bud,2
