tmdb_movie_id,tmdb_director_id,movie_title
1265609,143059,War Machine
1290821,76422,Shelter
799882,59703,The Bluff
1084242,1318201,Zootopia 2
1084242,76595,Zootopia 2
1327819,1491592,Hoppers
840464,76422,Greenland 2: Migration
1236153,23430,Mercy
1193501,1401474,Whistle
1088434,78108,Hellfire
1168190,1500758,The Wrecking Crew
1119449,1704,"Good Luck, Have Fun, Don't Die"
755898,1634181,War of the Worlds
83533,2710,Avatar: Fire and Ash
1316092,1252934,"""Wuthering Heights"""
680493,8296,Return to Silent Hill
1368166,116805,The Housemaid
1242898,568322,Predator: Badlands
1159559,26458,Scream 7
1233413,1056121,Sinners
696393,59104,Cold Storage
858024,1395183,Hamnet
1584215,113194,The Internship
1387382,582827,Hunting Season
1317288,129561,Marty Supreme
1054867,4762,One Battle After Another
1306368,40223,The Rip
1171145,859754,Crime 101
1167307,2838796,David
1167307,2508883,David
1062722,10828,Frankenstein
1234731,1211000,Anaconda
1448560,1088096,Wildcat
457332,293911,Hidden Strike
121872,57206,Ginger & Rosa
7451,18878,xXx
425274,91268,Now You See Me: Now You Don't
1401778,56533,Turbulence
803796,1453550,KPop Demon Hunters
803796,3003169,KPop Demon Hunters
10866,21053,Joy Ride
1297842,2122835,GOAT
1006462,99096,The Flood
1272837,1795072,28 Years Later: The Bone Temple
157336,525,Interstellar
126889,578,Alien: Covenant
1069905,5656,Jay Kelly
24428,12891,The Avengers
1159831,1579,The Bride!
278,4027,The Shawshank Redemption
238,1776,The Godfather
4934,15657,Firecreek
615457,1169024,Nobody
911430,86270,F1
10733,54040,The Alamo
798645,11090,The Running Man
1363123,144798,The Family Plan 2
1196067,37948,Worldbreaker
1248226,65734,Playdate
1078605,84833,Weapons
1439112,98537,Muzzle: City of Wolves
628847,71280,Trap House
991494,70652,The SpongeBob Movie: Search for SquarePants
1401281,1280031,The Testament of Ann Lee
269149,76595,Zootopia
269149,165787,Zootopia
701387,122423,Bugonia
28774,114629,Communion
1241470,228177,Osiris
533533,20307,TRON: Ares
1034716,932759,People We Meet on Vacation
1228246,2103746,Five Nights at Freddy's 2
1234821,129894,Jurassic World Rebirth
280874,132722,Killing Daddy
1061474,15218,Superman
19995,2710,Avatar
4247,35689,Scary Movie
27205,525,Inception
155,525,The Dark Knight
299536,19272,Avengers: Infinity War
299536,19271,Avengers: Infinity War
1007734,235430,Nobody 2
26674,95462,Wild Side
120,108,The Lord of the Rings: The Fellowship of the Ring
22,1704,Pirates of the Caribbean: The Curse of the Black Pearl
1198994,7623,Send Help
122,108,The Lord of the Rings: The Return of the King
575265,9033,Mission: Impossible - The Final Reckoning
11427,59848,Dead End
11427,69401,Dead End
617126,1212522,The Fantastic 4: First Steps
1214931,20204,Nuremberg
1029575,144798,The Family Plan
1315303,100734,Primate
13,24,Forrest Gump
597,2710,Titanic
502356,1719706,The Super Mario Bros. Movie
502356,113901,The Super Mario Bros. Movie
199591,52629,Penthouse North
97512,357,The Courier
1032892,7,In the Blink of an Eye
1197306,19769,A Working Man
1175942,1261455,The Bad Guys 2
1242501,15115,Icefall
1317149,64045,I Swear
680,138,Pulp Fiction
557,7623,Spider-Man
533535,17825,Deadpool & Wolverine
1241983,1590194,Train Dreams
18252,70835,My Science Project
1087192,69797,How to Train Your Dragon
228194,5306,The Hundred-Foot Journey
28859,101449,Dolly Dearest
950387,53925,A Minecraft Movie
24973,4109,The Egyptian
1010755,16938,The Strangers: Chapter 3
30204,123401,"Move Over, Darling"
950396,55499,The Gorge
603,9340,The Matrix
603,9339,The Matrix
18420,17784,City of Industry
967941,54507,Wicked: For Good
807,7467,Se7en
808,5524,Shrek
808,12058,Shrek
1317672,11873,Love Me Love Me
87101,47005,Terminator Genisys
1429605,149638,F Valentine's Day
872585,525,Oppenheimer
671,10965,Harry Potter and the Philosopher's Stone
634649,1293994,Spider-Man: No Way Home
177047,6899,Decoding Annie Parker
497,4027,The Green Mile
475557,57130,Joker
541671,3950,Ballerina
9276,2294,The Faculty
550,7467,Fight Club
769,1032,GoodFellas
324857,936670,Spider-Man: Into the Spider-Verse
324857,151007,Spider-Man: Into the Spider-Verse
324857,59918,Spider-Man: Into the Spider-Verse
507244,131532,Afterburn
1035259,62854,The Naked Gun
240,1776,The Godfather Part II
10138,15277,Iron Man 2
1189198,1417113,Genie
862,7879,Toy Story
438631,137427,Dune
385687,18865,Fast X
1243460,80602,Joe's College Road Trip
424,488,Schindler's List
1328803,54649,Prisoner of War
519182,124748,Despicable Me 4
552524,1540069,Lilo & Stitch
12662,7301,Psycho III
10187,64139,Swing Vote
361743,86270,Top Gun: Maverick
76600,2710,Avatar: The Way of Water
1184918,66193,The Wild Robot
335984,137427,Blade Runner 2049
1242937,1765107,The Dreadful
569094,1046497,Spider-Man: Across the Spider-Verse
569094,2451598,Spider-Man: Across the Spider-Verse
569094,89596,Spider-Man: Across the Spider-Verse
5854,2636,Family Plot
941109,1108,Play Dirty
121,108,The Lord of the Rings: The Two Towers
939243,93364,Sonic the Hedgehog 3
423108,1607672,The Conjuring: The Devil Made Me Do It
574475,1938317,Final Destination Bloodlines
574475,1181022,Final Destination Bloodlines
583903,1045176,Our Friend
1413097,11091,Melania
346698,45400,Barbie
1022789,182001,Inside Out 2
4248,35689,Scary Movie 2
210577,7467,Gone Girl
293660,55252,Deadpool
8681,35453,Taken
216015,1137903,Fifty Shades of Grey
411,5524,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
850439,2569989,The Damned
1119878,876,Ice Road: Vengeance
11430,69416,The Lion King 1½
8915,6495,Amelia
13460,57581,Doomsday
1726,15277,Iron Man
1038392,1607672,The Conjuring: Last Rites
348,578,Alien
299534,19271,Avengers: Endgame
299534,19272,Avengers: Endgame
14160,12890,Up
1071585,1288796,M3GAN 2.0
105,24,Back to the Future
8966,19850,Twilight
414906,32278,The Batman
38757,76595,Tangled
38757,121830,Tangled
672,10965,Harry Potter and the Chamber of Secrets
402431,54507,Wicked
389,39996,12 Angry Men
986056,836732,Thunderbolts*
43549,54869,The Experiment
350,5065,The Devil Wears Prada
354912,8,Coco
926393,20907,The Equalizer 3
1299655,564,Blue Moon
218,2710,The Terminator
244786,136495,Whiplash
153,1769,Lost in Translation
49051,108,The Hobbit: An Unexpected Journey
1022787,1171950,Elio
1022787,2009739,Elio
1022787,1684652,Elio
167032,65677,Curse of Chucky
11,1,Star Wars
16869,138,Inglourious Basterds
674,10723,Harry Potter and the Goblet of Fire
14836,57646,Coraline
693134,137427,Dune: Part Two
475961,1006762,Curvature
4232,5140,Scream
8587,15812,The Lion King
8587,18898,The Lion King
1242419,139098,Roofman
912649,940376,Venom: The Last Dance
1562,17597,28 Weeks Later
111,1150,Scarface
1327862,1053420,Regretting You
767,11343,Harry Potter and the Half-Blood Prince
7131,7775,Van Helsing
564,7775,The Mummy
109445,15774,Frozen
109445,1120694,Frozen
957119,2681771,Sidelined: The QB and Me
646385,1039527,Scream
646385,66681,Scream
585,12890,"Monsters, Inc."
315635,1293994,Spider-Man: Homecoming
280,2710,Terminator 2: Judgment Day
106,1090,Predator
49026,525,The Dark Knight Rises
812583,67367,Wake Up Dead Man: A Knives Out Mystery
150540,12890,Inside Out
4258,72024,Scary Movie 5
122917,108,The Hobbit: The Battle of the Five Armies
429617,1293994,Spider-Man: Far From Home
1259102,1864582,Eternity
85,488,Raiders of the Lost Ark
934433,66681,Scream VI
934433,1039527,Scream VI
228150,19769,Fury
1624,4499,Liar Liar
933260,1607016,The Substance
863,7879,Toy Story 2
1669,1090,The Hunt for Red October
10897,58448,The Little Rascals
604079,10943,The Long Walk
857,488,Saving Private Ryan
12,7,Finding Nemo
745,11614,The Sixth Sense
156022,20907,The Equalizer
163,1884,Ocean's Twelve
98,578,Gladiator
673,11218,Harry Potter and the Prisoner of Azkaban
106646,1032,The Wolf of Wall Street
1412598,1871358,Killer Whale
1043197,17311,Dust Bunny
10681,7,WALL·E
329865,137427,Arrival
273271,1326297,Time Lapse
337167,15890,Fifty Shades Freed
1241982,4524084,Moana 2
1241982,1461394,Moana 2
1241982,1513971,Moana 2
346364,1113116,It
23823,126882,Wrong Turn 3: Left for Dead
272,525,Batman Begins
1865,17633,Pirates of the Caribbean: On Stranger Tides
1205656,1262867,Hallow Road
943,7187,Lethal Weapon 3
26178,52968,Razorback
9732,58829,The Lion King II: Simba's Pride
99861,12891,Avengers: Age of Ultron
822119,1301933,Captain America: Brave New World
1151334,1521958,Eenie Meanie
425,5713,Ice Age
11036,11151,The Notebook
675,11343,Harry Potter and the Order of the Phoenix
38,201,Eternal Sunshine of the Spotless Mind
58,1704,Pirates of the Caribbean: Dead Man's Chest
762509,92784,Mufasa: The Lion King
18785,57130,The Hangover
72105,52139,Ted
47971,40256,xXx: Return of Xander Cage
433252,1117026,Our Souls at Night
177572,70238,Big Hero 6
