tmdb_id,title,original_title,overview,release_date,rating,vote_count,popularity,poster_path,backdrop_path,original_language,region,cinema_type
1265609,War Machine,War Machine,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",2026-03-06,7.227,860,472.8603,/tlPgDzwIE7VYYIIAGCTUOnN4wI1.jpg,/6yeVcxFR0j08vlv2OlL6zbewm4D.jpg,en,US,Hollywood
1290821,Shelter,Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",2026-01-30,6.596,307,298.5287,/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,/u6YE4rlEWOiYoqhPJuNvt5GHxgu.jpg,en,US,Hollywood
799882,The Bluff,The Bluff,"When her tranquil life on a remote island is shattered by the return of her vengeful former captain, a skilled ex-pirate must confront her bloody past and unleash her deadly talents to save her family from a ruthless siege.",2026-02-17,6.341,271,193.2064,/w0jwjFmRu2or7LQqh1tSMFjq0At.jpg,/hYgUkH7TusddHRtelj53I6gFOWR.jpg,en,US,Hollywood
1084242,Zootopia 2,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",2025-11-26,7.606,2187,171.7147,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,/lgotja3xMoJZbynwHfcQcJAEMWH.jpg,en,US,Hollywood
1327819,Hoppers,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",2026-03-06,7.718,195,148.4862,/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,/2RrLuIfIzGWWIH8IAEo6o0IYHmx.jpg,en,US,Hollywood
840464,Greenland 2: Migration,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",2026-01-09,6.432,606,138.5129,/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,/u9jE0R1nvkmdWu3bt7Op8joPywa.jpg,en,US,Hollywood
1236153,Mercy,Mercy,"In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",2026-01-23,7.105,735,127.805,/pyok1kZJCfyuFapYXzHcy7BLlQa.jpg,/7HKpc11uQfxnw0Y8tRUYn1fsKqE.jpg,en,US,Hollywood
1193501,Whistle,Whistle,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",2026-02-06,6.113,150,108.8578,/84vAcFwxoObBuMWANWQXCg0Umg8.jpg,/yJi6g0CnsqANLNuVaRX28tZxeHX.jpg,en,US,Hollywood
1088434,Hellfire,Hellfire,A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.,2026-02-17,6.904,57,115.2882,/tQti9QTf13MfzNpXguijgNh7ojE.jpg,/1gLFGrxHqQebqLWpISmoFR6XWtJ.jpg,en,US,Hollywood
1168190,The Wrecking Crew,The Wrecking Crew,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",2026-01-28,6.875,786,113.1466,/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg,/cz4vLJrmaV1zJlRYbxqtvLzeLWB.jpg,en,US,Hollywood
